"Geneid","Chr","Start","End","Strand","Length","conA_rep1_sorted.bam","conA_rep2_sorted.bam","conB_rep1_sorted.bam","conB_rep2_sorted.bam","WT1_rpm","WT2_rpm","WT3_rpm","WT4_rpm","Matched_Gene","RPKM_WT1","RPKM_WT2","RPKM_WT3","RPKM_WT4"
"YAL021C","NC_001133.9","110846","113359","-",2514,96,67,71,84,133.36500752262,82.2550151005475,112.315825774426,93.1954041352132,2.513,53.0700388072503,32.7318006767002,44.693921915808,37.0853180004828
"YAL020C","NC_001133.9","113614","114615","-",1002,51,32,38,64,70.8501602463919,39.2859773614555,60.1126954849038,71.0060221982577,1.001,70.7793808655263,39.2467306308247,60.0526428420618,70.9350871111465
"YAL019W","NC_001133.9","114919","118314","+",3396,48,46,73,104,66.68250376131,56.4735924570923,115.479651852578,115.384786072169,3.395,19.641385496704,16.6343424026782,34.0146249933957,33.9866822009334
"YAL018C","NC_001133.9","118564","119541","-",978,0,1,0,0,0,1.22768679254549,0,0,0.977,0,1.25658832399743,0,0
"YAL017W","NC_001133.9","120225","124295","+",4071,263,242,139,176,365.364551858844,297.100203796008,219.885912431622,195.266561045209,4.07,89.7701601618782,72.9975930702721,54.0260227104722,47.9770420258498
"YAL016W","NC_001133.9","124879","126786","+",1908,238,257,210,218,330.634081149829,315.51550568419,332.201738206047,241.864263112815,1.907,173.37917207647,165.451235282742,174.201226117487,126.829713221193
"YAL015C","NC_001133.9","126903","128102","-",1200,55,41,24,35,76.4070355598343,50.3351584943649,37.965912937834,38.8314183896722,1.199,63.725634328469,41.9809495365846,31.6646479881851,32.3865040781252
"YAL014C","NC_001133.9","128252","129019","-",768,50,35,28,41,69.4609414180312,42.969037739092,44.2935650941396,45.4882329707588,0.767,90.5618532177721,56.0222134799113,57.7491070327766,59.3066922695682
"YAL013W","NC_001133.9","129270","130487","+",1218,77,76,55,84,106.969849783768,93.3041962334569,87.0052171492029,93.1954041352132,1.217,87.8963432898669,76.6673757053878,71.4915506566992,76.5779820338646
"YAL012W","NC_001133.9","130799","131983","+",1185,526,166,138,209,730.729103717688,203.796007562551,218.303999392545,231.879041241185,1.184,617.169851112913,172.125006387289,184.378377865326,195.843784832082
"YAL011W","NC_001133.9","132199","134076","+",1878,40,42,31,36,55.568753134425,51.5628452869104,49.0393042113689,39.9408874865199,1.877,29.6050895761454,27.4708818790146,26.1264273901805,21.2791089432712
"YAL010C","NC_001133.9","134184","135665","-",1482,34,35,22,32,47.2334401642612,42.969037739092,34.8020868596812,35.5030110991288,1.481,31.8929373155039,29.0135298710952,23.4990458201763,23.9723234970485
"YAL009W","NC_001133.9","135854","136633","+",780,19,23,23,24,26.3951577388519,28.2367962285462,36.3839998987576,26.6272583243466,0.779,33.8833860575762,36.2474919493532,46.7060332461586,34.1813328938981
"YAL008W","NC_001133.9","136914","137510","+",597,84,76,23,38,116.694381582292,93.3041962334569,36.3839998987576,42.1598256802155,0.596,195.795942252169,156.550664821236,61.046979695902,70.7379625506972
"YAL007C","NC_001133.9","137698","138345","-",648,68,95,83,115,94.4668803285225,116.630245291821,131.298782243343,127.588946137494,0.647,146.007543011627,180.263130281022,202.934748444115,197.20084410741
"YNCA0002W","NC_001133.9;NC_001133.9","139152;139219","139187;139254","+;+",72,0,0,0,0,0,0,0,0,0.102,0,0,0,0
"YAL005C","NC_001133.9","139503","141431","-",1929,5335,4823,2120,3187,7411.48244930393,5921.13340044688,3353.655642842,3535.87801165386,1.928,3844.12990109125,3071.12728238946,1739.44794753216,1833.9616243018
"YAL003W","NC_001133.9;NC_001133.9","142174;142620","142253;143160","+;+",621,297,675,911,1243,412.597992023105,828.688584968203,1441.12277859862,1379.07008738179,0.986,418.456381362176,840.454954328806,1461.58496815275,1398.65120424116
"YNCA0003W","NC_001133.9","142367","142468","+",102,0,0,0,0,0,0,0,0,0.101,0,0,0,0
"YAL002W","NC_001133.9","143707","147531","+",3825,86,49,35,57,119.472819239014,60.1566528347288,55.3669563676746,63.2397385203233,3.824,31.2428920604115,15.731342268496,14.4788065815049,16.5375885251891
"YAL001C","NC_001133.9;NC_001133.9","147594;151097","151006;151166","-;-",3483,123,80,59,87,170.873915888357,98.2149434036389,93.3328693055085,96.5238114257565,3.572,47.8370425219364,27.4957848274465,26.1290227619005,27.022343624232
"YAR002W","NC_001133.9","152257","153876","+",1620,53,69,64,86,73.6285979031131,84.7103886856385,101.242434500891,95.4143423289088,1.619,45.4778245232323,52.3226613252863,62.5339311308775,58.9341212655397
"YAR002C-A","NC_001133.9","154065","154724","-",660,106,96,77,108,147.257195806226,117.857932084367,121.807304008884,119.82266245956,0.659,223.455532331147,178.843599521042,184.836576644741,181.824980970501
"YAR003W","NC_001133.9","155005","156285","+",1281,37,29,40,45,51.4010966493431,35.6029169838191,63.2765215630566,49.9261093581499,1.28,40.1571067572993,27.8147788936087,49.434782471138,39.0047729360546
"YAR007C","NC_001133.9","156754","158619","-",1866,93,90,68,88,129.197351037538,110.491811329094,107.570086657196,97.6332805226043,1.865,69.2747190549802,59.2449390504524,57.6783306472902,52.3502844625224
"YAR008W","NC_001133.9","158966","159793","+",828,4,10,7,18,5.5568753134425,12.2768679254549,11.0733912735349,19.97044374326,0.827,6.7193171867503,14.8450639969224,13.3898322533675,24.148057730665
"YAR009C","NC_001133.9","160597","164187","-",3591,145,322,134,201,201.436730112291,395.315147199646,211.97634723624,223.003288466403,3.59,56.1105097805823,110.115639888481,59.0463362775041,62.1179076508087
"YAR010C","NC_001133.9","164544","165866","-",1323,67,111,56,53,93.0776615001618,136.273233972549,88.5871301882793,58.8018621329322,1.322,70.406703101484,103.081114956542,67.0099320637514,44.4794721126567
"YNCA0004W","NC_001133.9","166267","166339","+",73,0,0,0,0,0,0,0,0,0.072,0,0,0,0
"YAR014C","NC_001133.9","166742","168871","-",2130,117,97,118,134,162.538602918193,119.085618876912,186.665738611017,148.668858977602,2.129,76.3450459925754,55.9350018210015,87.6776602212386,69.8303705860038
"YAR015W","NC_001133.9","169375","170295","+",921,279,683,462,540,387.592053112614,838.510079308567,730.843824053304,599.113312297799,0.92,421.295709905015,911.423999248442,794.395460927504,651.210122062825
"YAR018C","NC_001133.9","170396","171703","-",1308,37,41,33,36,51.4010966493431,50.3351584943649,52.2031302895217,39.9408874865199,1.307,39.3275414302549,38.5119804853595,39.9411861434749,30.5592100126396
"YAR019C","NC_001133.9","172211","175135","-",2925,46,36,52,60,63.9040661045887,44.1967245316375,82.2594780319736,66.5681458108666,2.924,21.8550157676432,15.1151588685491,28.1325164268036,22.7661237383265
"YAR020C","NC_001133.9","176856","177023","-",168,3,3,0,6,4.16765648508187,3.68306037763646,0,6.65681458108666,0.167,24.9560268567777,22.0542537583021,0,39.8611651562075
"YAR023C","NC_001133.9","179281","179820","-",540,7,5,7,12,9.72453179852437,6.13843396272743,11.0733912735349,13.3136291621733,0.539,18.0418029657224,11.3885602276947,20.5443251828106,24.7006106904885
"YNCA0005W","NC_001133.9;NC_001133.9","181141;181211","181178;181254","+;+",82,0,0,0,0,0,0,0,0,0.113,0,0,0,0
"YNCA0006C","NC_001133.9","182522","182603","-",82,0,0,0,0,0,0,0,0,0.081,0,0,0,0
"YAR027W","NC_001133.9","183770","184477","+",708,103,116,61,107,143.089539321144,142.411667935276,96.4966953836614,118.713193362712,0.707,202.389730298648,201.430930601522,136.487546511544,167.91116458658
"YAR028W","NC_001133.9","184892","185596","+",705,11,15,13,22,15.2814071119669,18.4153018881823,20.5648695079934,24.4083201306511,0.704,21.7065441931348,26.1580992729862,29.2114623693088,34.670909276493
"YAR029W","NC_001133.9","186321","186545","+",225,2,2,4,6,2.77843765672125,2.45537358509097,6.32765215630566,6.65681458108666,0.224,12.4037395389341,10.9614892191561,28.2484471263646,29.717922236994
"YAR031W","NC_001133.9","186836","187732","+",897,15,16,5,20,20.8382824254094,19.6429886807278,7.90956519538208,22.1893819369555,0.896,23.2570116355015,21.9229784383122,8.82763972698893,24.764935197495
"YAR033W","NC_001133.9","188107","188811","+",705,14,13,9,12,19.4490635970487,15.9599283030913,14.2372173516877,13.3136291621733,0.704,27.6265107912624,22.6703527032547,20.2233201018292,18.9114050599053
"YAR035W","NC_001133.9","190193","192256","+",2064,65,19,45,77,90.2992238434406,23.3260490583642,71.1860867584387,85.4291204572788,2.063,43.7708307530008,11.3068584868465,34.5061011916814,41.4101407936397
"YAR035C-A","NC_001133.9","192337","192417","-",81,3,1,3,2,4.16765648508187,1.22768679254549,4.74573911722925,2.21893819369555,0.08,52.0957060635234,15.3460849068186,59.3217389653656,27.7367274211944
"YAR042W","NC_001133.9","192619","196185","+",3567,161,128,98,136,223.664231366061,157.143909445822,155.027477829489,150.887797171298,3.566,62.7213211907068,44.0672769057269,43.4737739286284,42.3128988141609
"YAR050W","NC_001133.9","203403","208016","+",4614,15,4,11,11,20.8382824254094,4.91074717018194,17.4010434298406,12.2041600653255,4.613,4.51729512798816,1.0645452352443,3.77217503356613,2.6456015749676
"YAR061W","NC_001133.9","218140","219145","+",1006,1,0,3,4,1.38921882836062,0,4.74573911722925,4.43787638739111,1.005,1.38230729190112,0,4.72212847485497,4.41579740038916
"YAR064W","NC_001133.9","220198","220497","+",300,0,0,0,0,0,0,0,0,0.299,0,0,0,0
"YAR066W","NC_001133.9","221049","221660","+",612,15,6,9,14,20.8382824254094,7.36612075527291,14.2372173516877,15.5325673558689,0.611,34.1052085522248,12.0558441166496,23.3015013939243,25.4215505006037
"YAR068W","NC_001133.9","222406","222891","+",486,7,9,9,9,9.72453179852437,11.0491811329094,14.2372173516877,9.98522187162999,0.485,20.0505810278853,22.7818167688853,29.3550873230675,20.5880863332577
"YAR071W","NC_001133.9","225460","226863","+",1404,22,23,30,40,30.5628142239337,28.2367962285462,47.4573911722925,44.3787638739111,1.403,21.7839017989549,20.1260129925489,33.8256530094743,31.6313356193236
"YBL113C","NC_001134.8","280","2658","-",2379,156,81,80,87,216.718137224257,99.4426301961843,126.553043126113,96.5238114257565,2.378,91.1346245686532,41.8177587031894,53.2182687662377,40.590332811504
"YBL112C","NC_001134.8","2582","2899","-",318,7,4,2,8,9.72453179852437,4.91074717018194,3.16382607815283,8.87575277478221,0.317,30.676756462222,15.4913159942648,9.9805239058449,27.9992201097231
"YBL111C","NC_001134.8;NC_001134.8","2907;4216","4116;5009","-;-",2004,38,17,25,26,52.7903154777037,20.8706754732733,39.5478259769104,28.8461965180422,2.102,25.1143270588505,9.92896073895017,18.814379627455,13.7232143282789
"YBL108C-A","NC_001134.8","7605","7733","-",129,0,0,0,0,0,0,0,0,0.128,0,0,0,0
"YNCB0001W","NC_001134.8","9583","9666","+",84,0,0,0,0,0,0,0,0,0.083,0,0,0,0
"YBL107C","NC_001134.8","9961","10551","-",591,26,29,15,22,36.1196895373762,35.6029169838191,23.7286955861462,24.4083201306511,0.59,61.219812775214,60.3439270912188,40.2181281121123,41.3700341197476
"YBL106C","NC_001134.8","10847","13879","-",3033,34,17,17,35,47.2334401642612,20.8706754732733,26.8925216642991,38.8314183896722,3.032,15.5783113998223,6.88346816400833,8.86956519271078,12.8071960388101
"YBL105C","NC_001134.8","14241","17696","-",3456,174,141,125,186,241.724076134749,173.103837748913,197.739129884552,206.361252013686,3.455,69.9635531504338,50.1024132413643,57.2327438160787,59.7282929127891
"YBL104C","NC_001134.8","18177","21293","-",3117,49,50,36,40,68.0717225896706,61.3843396272743,56.948869406751,44.3787638739111,3.116,21.8458673265952,19.6997238855181,18.2762738789316,14.2422220391242
"YBL103C","NC_001134.8","22076","23536","-",1461,36,34,40,42,50.0118778209825,41.7413509465465,63.2765215630566,46.5977020676066,1.46,34.2547108362894,28.5899664017442,43.3400832623676,31.9162342928812
"YBL102W","NC_001134.8","24098","24745","+",648,56,78,51,59,77.796254388195,95.7595698185479,80.6775649928972,65.4586767140188,0.647,120.241506009575,148.005517493892,124.694845429517,101.172606976845
"YBL101C","NC_001134.8","24946","28299","-",3354,125,158,107,113,173.652353545078,193.974513222187,169.264695181177,125.370007943799,3.353,51.7901442126687,57.8510328727071,50.4815673072402,37.3903990288693
"YBL100W-C","NC_001134.8","28427","28546","+",120,1,2,1,3,1.38921882836062,2.45537358509097,1.58191303907642,3.32840729054333,0.119,11.6741078013498,20.6333914713527,13.2933868829951,27.9698091642297
"YBL100W-B","NC_001134.8","29935","35248","+",5314,47,40,21,47,65.2932849329493,49.1074717018194,33.2201738206047,52.1450475518455,5.313,12.2893440491153,9.242889460158,6.25262070781192,9.81461463426416
"YBL100W-A","NC_001134.8","29935","31251","+",1317,0,0,0,0,0,0,0,0,1.316,0,0,0,0
"YNCB0002W","NC_001134.8;NC_001134.8","36398;36453","36434;36488","+;+",73,0,0,0,0,0,0,0,0,0.09,0,0,0,0
"YBL099W","NC_001134.8","37053","38690","+",1638,1908,1616,1077,1501,2650.62952451207,1983.9418567535,1703.7203430853,1665.31311436851,1.637,1619.19946518758,1211.93760339249,1040.75769278271,1017.2957326625
"YBL098W","NC_001134.8","39145","40527","+",1383,50,155,54,95,69.4609414180312,190.29145284455,85.4233041101265,105.399564200539,1.382,50.2611732402541,137.692802347721,61.811363321365,76.2659654128356
"YBL097W","NC_001134.8","40831","43095","+",2265,28,21,18,25,38.8981271940975,25.7814226434552,28.4744347033755,27.7367274211944,2.264,17.1811515874989,11.3875541711375,12.5770471304662,12.2512046913403
"YBL095W","NC_001134.8","43277","44089","+",813,41,13,28,37,56.9579719627856,15.9599283030913,44.2935650941396,41.0503565833677,0.812,70.1452856684552,19.6550841171075,54.5487254853936,50.5546263341967
"YBL093C","NC_001134.8","44256","44918","-",663,36,35,34,45,50.0118778209825,42.969037739092,53.7850433285981,49.9261093581499,0.662,75.5466432341125,64.9079119925861,81.2462890160093,75.417083622583
"YBL092W","NC_001134.8","45978","46370","+",393,409,918,1323,1922,568.190500799495,1127.01647555676,2092.8709506981,2132.39960414143,0.392,1449.46556326402,2875.04202948152,5338.9565068829,5439.79490852405
"YBL091C-A","NC_001134.8;NC_001134.8","46565;47147","47058;47180","-;-",528,43,29,12,23,59.7364096195069,35.6029169838191,18.982956468917,25.5177892274989,0.615,97.1323733650518,57.8909219249091,30.8665958844179,41.4923402073152
"YBL091C","NC_001134.8","47363","48628","-",1266,199,241,156,279,276.454546843764,295.872517003462,246.778434095921,309.54187802053,1.265,218.541143750011,233.891317789298,195.081766083732,244.697136775122
"YBL090W","NC_001134.8","48825","49358","+",534,36,30,29,29,50.0118778209825,36.8306037763646,45.8754781332161,32.1746038085855,0.533,93.8309152363649,69.1005699368941,86.0703154469344,60.3651103350573
"YBL089W","NC_001134.8","49574","50953","+",1380,39,32,15,26,54.1795343060644,39.2859773614555,23.7286955861462,28.8461965180422,1.379,39.2890023974361,28.488743554355,17.2071759145368,20.9181990703714
"YBL088C","NC_001134.8","51019","59382","-",8364,70,52,38,70,97.2453179852437,63.8397132123653,60.1126954849038,77.6628367793443,8.363,11.6280423275432,7.6335900050658,7.18793441168287,9.28648054278899
"YBL087C","NC_001134.8;NC_001134.8","59822;60698","60193;60739","-;-",414,167,363,551,816,231.999544336224,445.650305694011,871.634084531105,905.326783027785,0.917,252.998412580397,485.987247212662,950.527900252023,987.270210499221
"YBL086C","NC_001134.8","61202","62602","-",1401,83,86,54,66,115.305162753932,105.581064158912,85.4233041101265,73.2249603919532,1.4,82.3608305385227,75.4150458277941,61.0166457929475,52.3035431371095
"YBL085W","NC_001134.8","63876","66818","+",2943,124,91,111,129,172.263134716717,111.719498121639,175.592347337482,143.121513493363,2.942,58.5530709438196,37.9739966422975,59.6846863825568,48.6476932336381
"YBL084C","NC_001134.8","67169","69445","-",2277,51,44,47,44,70.8501602463919,54.0182188720014,74.3499128365915,48.8166402613022,2.276,31.1292443964815,23.733839574693,32.666921281455,21.4484359671802
"YBL082C","NC_001134.8","69751","71127","-",1377,32,25,27,50,44.45500250754,30.6921698136371,42.7116520550632,55.4734548423888,1.376,32.3074146130378,22.305355969213,31.0404448074587,40.3150107866198
"YBL081W","NC_001134.8","71866","72972","+",1107,7,3,7,14,9.72453179852437,3.68306037763646,11.0733912735349,15.5325673558689,1.106,8.79252423013053,3.33007267417401,10.0121078422558,14.0439126183263
"YBL080C","NC_001134.8","73070","74695","-",1626,48,37,29,30,66.68250376131,45.424411324183,45.8754781332161,33.2840729054333,1.625,41.0353869300369,27.9534838918049,28.2310634665945,20.4825064033436
"YBL079W","NC_001134.8","75259","79767","+",4509,135,109,72,126,187.544541828684,133.817860387458,113.897738813502,139.79310620282,4.508,41.6026046647481,29.6845298108824,25.2656918397298,31.0100058125155
"YBL078C","NC_001134.8","80378","80731","-",354,31,28,25,20,43.0657836791794,34.3752301912736,39.5478259769104,22.1893819369555,0.353,121.999387193143,97.3802554993587,112.033501351021,62.8594389148882
"YBL076C","NC_001134.8","81043","84261","-",3219,267,671,456,602,370.921427172287,823.777837798021,721.352345818846,667.900396302361,3.218,115.264582713576,255.990627034811,224.161698514247,207.551397235041
"YBL075C","NC_001134.8","84499","86448","-",1950,96,25,40,53,133.36500752262,30.6921698136371,63.2765215630566,58.8018621329322,1.949,68.4274025257157,15.7476499813428,32.4661475438977,30.1702730286979
"YBL074C","NC_001134.8","86722","87789","-",1068,19,14,4,16,26.3951577388519,17.1876150956368,6.32765215630566,17.7515055495644,1.067,24.7377298395987,16.108355291131,5.93032067132677,16.6368374410163
"YNCB0003W","NC_001134.8","88190","88277","+",88,0,2,0,0,0,2.45537358509097,0,0,0.087,0,28.2226848861031,0,0
"YBL072C","NC_001134.8","88523","89125","-",603,380,860,1287,1975,527.903154777037,1055.81064158912,2035.92208129135,2191.20146627436,0.602,876.91553949674,1753.83827506498,3381.9303675936,3639.86954530624
"YBL071C-B","NC_001134.8","89458","89556","-",99,0,0,0,0,0,0,0,0,0.098,0,0,0,0
"YBL071W-A","NC_001134.8","89978","90226","+",249,3,3,5,5,4.16765648508187,3.68306037763646,7.90956519538208,5.54734548423888,0.248,16.8050664721043,14.8510499098244,31.8934080458955,22.3683285654794
"YBL071C","NC_001134.8","90223","90531","-",309,4,5,7,8,5.5568753134425,6.13843396272743,11.0733912735349,8.87575277478221,0.308,18.0418029657224,19.9299803984657,35.9525690699185,28.8173791389033
