# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "/home/ibab/Desktop/DIBYENDU/s3/RA/rnaseq/GCF_000146045.2_R64_genomic_copy.gtf" "-o" "gene_counts.txt" "conA_rep1_sorted.bam" "conA_rep2_sorted.bam" "conB_rep1_sorted.bam" "conB_rep2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	conA_rep1_sorted.bam	conA_rep2_sorted.bam	conB_rep1_sorted.bam	conB_rep2_sorted.bam
YAL037C-A	NC_001133.9	73426	73518	-	93	54	69	53	82
YAL037W	NC_001133.9	74020	74823	+	804	3	5	5	11
YAL036C	NC_001133.9	75043	76152	-	1110	52	52	67	127
YAL035W	NC_001133.9	76427	79435	+	3009	322	448	424	728
YAL034W-A	NC_001133.9	79718	80587	+	870	15	16	12	16
YAL034C	NC_001133.9	80710	81951	-	1242	190	117	64	94
YAL033W	NC_001133.9	82706	83227	+	522	7	6	18	15
YAL032C	NC_001133.9	83335	84474	-	1140	41	26	22	24
YAL031C	NC_001133.9	84749	87031	-	2283	66	73	49	84
YAL030W	NC_001133.9;NC_001133.9	87286;87501	87387;87752	+;+	354	39	47	21	30
YAL029C	NC_001133.9	87855	92270	-	4416	78	97	102	161
YAL028W	NC_001133.9	92900	94486	+	1587	49	41	24	35
YAL027W	NC_001133.9	94687	95472	+	786	29	20	15	16
YAL026C	NC_001133.9	95630	99697	-	4068	91	80	76	122
YNCA0001W	NC_001133.9	99305	99868	+	564	0	0	0	0
YAL025C	NC_001133.9	100225	101145	-	921	10	8	44	76
YAL024C	NC_001133.9	101565	105872	-	4308	27	41	23	35
YAL023C	NC_001133.9	106272	108551	-	2280	232	245	232	344
YAL022C	NC_001133.9	108877	110430	-	1554	47	41	26	61
YAL021C	NC_001133.9	110846	113359	-	2514	96	67	71	84
YAL020C	NC_001133.9	113614	114615	-	1002	51	32	38	64
YAL019W	NC_001133.9	114919	118314	+	3396	48	46	73	104
YAL018C	NC_001133.9	118564	119541	-	978	0	1	0	0
YAL017W	NC_001133.9	120225	124295	+	4071	263	242	139	176
YAL016W	NC_001133.9	124879	126786	+	1908	238	257	210	218
YAL015C	NC_001133.9	126903	128102	-	1200	55	41	24	35
YAL014C	NC_001133.9	128252	129019	-	768	50	35	28	41
YAL013W	NC_001133.9	129270	130487	+	1218	77	76	55	84
YAL012W	NC_001133.9	130799	131983	+	1185	526	166	138	209
YAL011W	NC_001133.9	132199	134076	+	1878	40	42	31	36
YAL010C	NC_001133.9	134184	135665	-	1482	34	35	22	32
YAL009W	NC_001133.9	135854	136633	+	780	19	23	23	24
YAL008W	NC_001133.9	136914	137510	+	597	84	76	23	38
YAL007C	NC_001133.9	137698	138345	-	648	68	95	83	115
YNCA0002W	NC_001133.9;NC_001133.9	139152;139219	139187;139254	+;+	72	0	0	0	0
YAL005C	NC_001133.9	139503	141431	-	1929	5335	4823	2120	3187
YAL003W	NC_001133.9;NC_001133.9	142174;142620	142253;143160	+;+	621	297	675	911	1243
YNCA0003W	NC_001133.9	142367	142468	+	102	0	0	0	0
YAL002W	NC_001133.9	143707	147531	+	3825	86	49	35	57
YAL001C	NC_001133.9;NC_001133.9	147594;151097	151006;151166	-;-	3483	123	80	59	87
YAR002W	NC_001133.9	152257	153876	+	1620	53	69	64	86
YAR002C-A	NC_001133.9	154065	154724	-	660	106	96	77	108
YAR003W	NC_001133.9	155005	156285	+	1281	37	29	40	45
YAR007C	NC_001133.9	156754	158619	-	1866	93	90	68	88
YAR008W	NC_001133.9	158966	159793	+	828	4	10	7	18
YAR009C	NC_001133.9	160597	164187	-	3591	145	322	134	201
YAR010C	NC_001133.9	164544	165866	-	1323	67	111	56	53
YNCA0004W	NC_001133.9	166267	166339	+	73	0	0	0	0
YAR014C	NC_001133.9	166742	168871	-	2130	117	97	118	134
YAR015W	NC_001133.9	169375	170295	+	921	279	683	462	540
YAR018C	NC_001133.9	170396	171703	-	1308	37	41	33	36
YAR019C	NC_001133.9	172211	175135	-	2925	46	36	52	60
YAR020C	NC_001133.9	176856	177023	-	168	3	3	0	6
YAR023C	NC_001133.9	179281	179820	-	540	7	5	7	12
YNCA0005W	NC_001133.9;NC_001133.9	181141;181211	181178;181254	+;+	82	0	0	0	0
YNCA0006C	NC_001133.9	182522	182603	-	82	0	0	0	0
YAR027W	NC_001133.9	183770	184477	+	708	103	116	61	107
YAR028W	NC_001133.9	184892	185596	+	705	11	15	13	22
YAR029W	NC_001133.9	186321	186545	+	225	2	2	4	6
YAR031W	NC_001133.9	186836	187732	+	897	15	16	5	20
YAR033W	NC_001133.9	188107	188811	+	705	14	13	9	12
YAR035W	NC_001133.9	190193	192256	+	2064	65	19	45	77
YAR035C-A	NC_001133.9	192337	192417	-	81	3	1	3	2
YAR042W	NC_001133.9	192619	196185	+	3567	161	128	98	136
YAR050W	NC_001133.9	203403	208016	+	4614	15	4	11	11
YAR061W	NC_001133.9	218140	219145	+	1006	1	0	3	4
YAR064W	NC_001133.9	220198	220497	+	300	0	0	0	0
YAR066W	NC_001133.9	221049	221660	+	612	15	6	9	14
YAR068W	NC_001133.9	222406	222891	+	486	7	9	9	9
YAR071W	NC_001133.9	225460	226863	+	1404	22	23	30	40
YBL113C	NC_001134.8	280	2658	-	2379	156	81	80	87
YBL112C	NC_001134.8	2582	2899	-	318	7	4	2	8
YBL111C	NC_001134.8;NC_001134.8	2907;4216	4116;5009	-;-	2004	38	17	25	26
YBL108C-A	NC_001134.8	7605	7733	-	129	0	0	0	0
YNCB0001W	NC_001134.8	9583	9666	+	84	0	0	0	0
YBL107C	NC_001134.8	9961	10551	-	591	26	29	15	22
YBL106C	NC_001134.8	10847	13879	-	3033	34	17	17	35
YBL105C	NC_001134.8	14241	17696	-	3456	174	141	125	186
YBL104C	NC_001134.8	18177	21293	-	3117	49	50	36	40
YBL103C	NC_001134.8	22076	23536	-	1461	36	34	40	42
YBL102W	NC_001134.8	24098	24745	+	648	56	78	51	59
YBL101C	NC_001134.8	24946	28299	-	3354	125	158	107	113
YBL100W-C	NC_001134.8	28427	28546	+	120	1	2	1	3
YBL100W-B	NC_001134.8	29935	35248	+	5314	47	40	21	47
YBL100W-A	NC_001134.8	29935	31251	+	1317	0	0	0	0
YNCB0002W	NC_001134.8;NC_001134.8	36398;36453	36434;36488	+;+	73	0	0	0	0
YBL099W	NC_001134.8	37053	38690	+	1638	1908	1616	1077	1501
YBL098W	NC_001134.8	39145	40527	+	1383	50	155	54	95
YBL097W	NC_001134.8	40831	43095	+	2265	28	21	18	25
YBL095W	NC_001134.8	43277	44089	+	813	41	13	28	37
YBL093C	NC_001134.8	44256	44918	-	663	36	35	34	45
YBL092W	NC_001134.8	45978	46370	+	393	409	918	1323	1922
YBL091C-A	NC_001134.8;NC_001134.8	46565;47147	47058;47180	-;-	528	43	29	12	23
YBL091C	NC_001134.8	47363	48628	-	1266	199	241	156	279
YBL090W	NC_001134.8	48825	49358	+	534	36	30	29	29
YBL089W	NC_001134.8	49574	50953	+	1380	39	32	15	26
YBL088C	NC_001134.8	51019	59382	-	8364	70	52	38	70
YBL087C	NC_001134.8;NC_001134.8	59822;60698	60193;60739	-;-	414	167	363	551	816
YBL086C	NC_001134.8	61202	62602	-	1401	83	86	54	66
YBL085W	NC_001134.8	63876	66818	+	2943	124	91	111	129
YBL084C	NC_001134.8	67169	69445	-	2277	51	44	47	44
YBL082C	NC_001134.8	69751	71127	-	1377	32	25	27	50
YBL081W	NC_001134.8	71866	72972	+	1107	7	3	7	14
YBL080C	NC_001134.8	73070	74695	-	1626	48	37	29	30
YBL079W	NC_001134.8	75259	79767	+	4509	135	109	72	126
YBL078C	NC_001134.8	80378	80731	-	354	31	28	25	20
YBL076C	NC_001134.8	81043	84261	-	3219	267	671	456	602
YBL075C	NC_001134.8	84499	86448	-	1950	96	25	40	53
YBL074C	NC_001134.8	86722	87789	-	1068	19	14	4	16
YNCB0003W	NC_001134.8	88190	88277	+	88	0	2	0	0
YBL072C	NC_001134.8	88523	89125	-	603	380	860	1287	1975
YBL071C-B	NC_001134.8	89458	89556	-	99	0	0	0	0
YBL071W-A	NC_001134.8	89978	90226	+	249	3	3	5	5
YBL071C	NC_001134.8	90223	90531	-	309	4	5	7	8
YBL069W	NC_001134.8	90741	92030	+	1290	54	24	33	57
YBL068W	NC_001134.8	92414	93394	+	981	24	41	48	80
YBL067C	NC_001134.8	93639	95882	-	2244	45	54	43	69
YBL066C	NC_001134.8	96669	100115	-	3447	108	78	57	51
YBL064C	NC_001134.8	100371	101156	-	786	359	248	110	128
YBL063W	NC_001134.8	101886	105221	+	3336	50	25	26	34
YBL061C	NC_001134.8	105316	107406	-	2091	68	76	76	131
YBL060W	NC_001134.8	107932	109995	+	2064	34	25	23	37
YBL059C-A	NC_001134.8;NC_001134.8	110125;110506	110420;110539	-;-	330	21	18	8	16
YBL059W	NC_001134.8;NC_001134.8	110594;110949	110879;111244	+;+	582	13	12	7	13
YBL058W	NC_001134.8	111437	112708	+	1272	218	256	145	173
YBL057C	NC_001134.8	112801	113427	-	627	40	49	37	53
YBL056W	NC_001134.8	113762	115168	+	1407	246	250	158	206
YBL055C	NC_001134.8	115573	116829	-	1257	32	52	41	72
YBL054W	NC_001134.8	117589	119166	+	1578	14	8	18	54
YBL052C	NC_001134.8	119379	121874	-	2496	49	49	41	62
YBL051C	NC_001134.8	122753	124759	-	2007	106	139	81	136
YBL050W	NC_001134.8;NC_001134.8	125125;125271	125154;126119	+;+	879	147	132	69	95
YBL049W	NC_001134.8	126828	127244	+	417	49	14	6	7
YBL048W	NC_001134.8	127299	127610	+	312	18	4	2	5
YBL047C	NC_001134.8	127895	132040	-	4146	488	415	265	410
YBL046W	NC_001134.8	132424	133749	+	1326	46	46	46	74
YBL045C	NC_001134.8	134143	135516	-	1374	855	790	571	665
YBL044W	NC_001134.8	135998	136366	+	369	1	0	1	0
YBL043W	NC_001134.8	136688	137461	+	774	17	8	11	3
YBL042C	NC_001134.8	138341	140260	-	1920	31	25	83	118
YBL041W	NC_001134.8	141247	141972	+	726	205	217	104	187
YBL040C	NC_001134.8;NC_001134.8	142112;142847	142749;142868	-;-	660	56	83	59	76
YBL039W-B	NC_001134.8	143393	143572	+	180	13	10	10	9
YBL039C	NC_001134.8	143989	145728	-	1740	28	40	81	176
YBL038W	NC_001134.8	146187	146885	+	699	56	54	33	44
YBL037W	NC_001134.8	147209	150286	+	3078	59	76	46	59
YBL036C	NC_001134.8	150447	151220	-	774	49	54	52	75
YBL035C	NC_001134.8	151493	153610	-	2118	26	15	29	33
YBL034C	NC_001134.8	153848	158389	-	4542	41	30	38	48
YBL033C	NC_001134.8	158656	159693	-	1038	79	127	67	105
YBL032W	NC_001134.8	160184	161329	+	1146	136	77	98	118
YBL031W	NC_001134.8	161699	162715	+	1017	7	4	9	14
YBL030C	NC_001134.8	163041	163997	-	957	1290	1243	840	1171
YBL029C-A	NC_001134.8	164488	164772	-	285	80	63	46	70
YBL029W	NC_001134.8	166134	167264	+	1131	32	39	36	65
YBL028C	NC_001134.8	167518	167838	-	321	5	10	11	29
YBL027W	NC_001134.8;NC_001134.8	168423;168809	168424;169376	+;+	570	393	857	1344	2022
YBL026W	NC_001134.8;NC_001134.8	170623;170805	170676;171038	+;+	288	35	30	27	38
YBL025W	NC_001134.8	171481	171918	+	438	12	8	11	15
YBL024W	NC_001134.8	172534	174588	+	2055	28	55	79	144
YBL023C	NC_001134.8	174920	177526	-	2607	27	27	26	53
YBL022C	NC_001134.8	177874	181275	-	3402	323	305	145	208
YBL021C	NC_001134.8	181660	182094	-	435	18	19	12	20
YBL020W	NC_001134.8	182401	184125	+	1725	56	41	46	81
YBL019W	NC_001134.8	184353	185915	+	1563	33	34	25	34
YBL018C	NC_001134.8;NC_001134.8	185998;186428	186352;186474	-;-	402	14	18	10	11
YBL017C	NC_001134.8	186844	191583	-	4740	242	224	164	245
YBL016W	NC_001134.8	192451	193512	+	1062	40	42	50	65
YBL015W	NC_001134.8	194122	195702	+	1581	681	460	177	225
YNCB0004W	NC_001134.8	197494	197567	+	74	0	0	0	0
YNCB0005C	NC_001134.8	197629	197699	-	71	0	0	0	0
YBL014C	NC_001134.8	199064	201748	-	2685	27	22	23	38
YBL013W	NC_001134.8	202056	203261	+	1206	7	13	5	7
YBL011W	NC_001134.8	203538	205817	+	2280	154	158	120	139
YBL010C	NC_001134.8	206107	206949	-	843	30	18	12	20
YBL009W	NC_001134.8	207194	209224	+	2031	39	36	37	50
YBL008W-A	NC_001134.8	209409	209648	+	240	0	0	0	0
YBL008W	NC_001134.8	209653	212175	+	2523	37	31	19	21
YBL007C	NC_001134.8	212632	216366	-	3735	426	402	269	364
YBL006C	NC_001134.8	216587	217129	-	543	35	53	42	37
YBL005W	NC_001134.8	217470	220400	+	2931	37	28	30	41
YBL005W-B	NC_001134.8	221330	226598	+	5269	91	215	113	151
YBL005W-A	NC_001134.8	221330	222652	+	1323	0	0	0	0
YNCB0006W	NC_001134.8	227075	227156	+	82	0	0	0	0
YBL004W	NC_001134.8	227636	235117	+	7482	56	39	67	132
YBL003C	NC_001134.8	235394	235792	-	399	248	274	219	320
YBL002W	NC_001134.8	236492	236887	+	396	238	146	129	213
YBL001C	NC_001134.8	237153	237467	-	315	72	104	61	65
YBR001C	NC_001134.8	238941	241283	-	2343	68	68	59	78
YBR002C	NC_001134.8	241708	242568	-	861	28	22	25	39
YBR003W	NC_001134.8	242809	244230	+	1422	108	105	60	61
YBR004C	NC_001134.8	244366	245667	-	1302	21	27	19	36
YBR005W	NC_001134.8	245906	246547	+	642	27	39	41	49
YBR006W	NC_001134.8	247010	248503	+	1494	124	123	55	69
YBR007C	NC_001134.8	248806	251016	-	2211	32	23	29	41
YBR008C	NC_001134.8	252563	254209	-	1647	49	16	19	28
YBR009C	NC_001134.8	255373	255684	-	312	438	263	219	336
YBR010W	NC_001134.8	256331	256741	+	411	341	244	219	330
YBR011C	NC_001134.8	257112	257975	-	864	793	564	427	659
YBR012W-B	NC_001134.8	259869	265140	+	5272	87	229	112	125
YBR012W-A	NC_001134.8	259869	261191	+	1323	0	0	0	0
YBR013C	NC_001134.8	265492	265881	-	390	13	4	4	3
YNCB0007W	NC_001134.8	266378	266450	+	73	0	0	0	0
YBR014C	NC_001134.8	266725	267336	-	612	55	39	19	52
YBR015C	NC_001134.8	267710	269503	-	1794	211	128	155	213
YBR016W	NC_001134.8	270247	270633	+	387	110	89	87	83
YBR017C	NC_001134.8	270947	273703	-	2757	120	133	122	166
YBR018C	NC_001134.8	274427	275527	-	1101	5	8	4	6
YBR019C	NC_001134.8	276253	278352	-	2100	5	4	3	1
YNCB0008W	NC_001134.8	276805	280645	+	3841	5	1	2	7
YBR020W	NC_001134.8	279021	280607	+	1587	0	0	0	0
YBR021W	NC_001134.8	281443	283344	+	1902	16	9	17	49
YBR022W	NC_001134.8	283738	284271	+	534	23	17	22	12
YBR023C	NC_001134.8	284428	287925	-	3498	95	113	142	160
YBR024W	NC_001134.8	289445	290350	+	906	59	44	23	18
YBR025C	NC_001134.8	290681	291865	-	1185	215	375	361	567
YBR026C	NC_001134.8	292877	294019	-	1143	192	130	65	90
YBR027C	NC_001134.8	294024	294356	-	333	0	0	0	1
YBR028C	NC_001134.8	294425	296002	-	1578	28	19	15	27
YBR029C	NC_001134.8	296369	297742	-	1374	119	108	87	112
YBR030W	NC_001134.8	298292	299950	+	1659	24	9	20	36
YBR031W	NC_001134.8	300166	301254	+	1089	784	1309	2189	3494
YBR032W	NC_001134.8	301519	301821	+	303	1	2	1	2
YBR033W	NC_001134.8	301944	304703	+	2760	70	49	21	34
YBR034C	NC_001134.8	304930	305976	-	1047	13	15	24	37
YBR035C	NC_001134.8	306269	306955	-	687	144	214	78	102
YNCB0009C	NC_001134.8	307185	307345	-	161	0	1	0	1
YNCB0010W	NC_001134.8	307587	308887	+	1301	27	22	36	62
YBR036C	NC_001134.8	309081	310313	-	1233	196	178	118	166
YBR037C	NC_001134.8	310565	311452	-	888	49	47	31	34
YBR038W	NC_001134.8	311898	314789	+	2892	136	97	77	113
YBR039W	NC_001134.8	315575	316510	+	936	384	351	225	279
YBR040W	NC_001134.8	316968	317864	+	897	1	0	0	1
YBR041W	NC_001134.8	318266	320275	+	2010	91	87	69	114
YBR042C	NC_001134.8	320416	321609	-	1194	25	39	28	38
YBR043C	NC_001134.8	321876	323945	-	2070	50	51	29	56
YBR044C	NC_001134.8	324341	326059	-	1719	53	56	30	44
YNCB0011C	NC_001134.8	326792	326865	-	74	1	0	0	0
YBR045C	NC_001134.8	328173	330092	-	1920	12	4	9	9
YBR046C	NC_001134.8	330507	331511	-	1005	79	108	50	43
YBR047W	NC_001134.8	331833	332360	+	528	1	19	2	4
YBR048W	NC_001134.8;NC_001134.8	332831;333387	332875;333812	+;+	471	211	440	722	1063
YBR049C	NC_001134.8	334386	336818	-	2433	119	76	87	120
YBR050C	NC_001134.8	337183	338199	-	1017	32	34	23	20
YBR052C	NC_001134.8	338720	339352	-	633	349	305	170	162
YBR053C	NC_001134.8	339675	340751	-	1077	208	127	65	82
YBR054W	NC_001134.8	343101	344135	+	1035	94	100	23	65
YBR055C	NC_001134.8	344602	347301	-	2700	52	36	31	51
YNCB0012W	NC_001134.8	347603	347686	+	84	0	0	0	0
YBR056W	NC_001134.8	347879	349384	+	1506	235	213	98	116
YNCB0013W	NC_001134.8	350827	350898	+	72	0	0	0	0
YBR056W-A	NC_001134.8	351255	351455	+	201	2	17	10	12
YBR057C	NC_001134.8	352193	353293	-	1101	40	37	34	52
YBR058C	NC_001134.8	353672	356017	-	2346	83	76	67	99
YBR058C-A	NC_001134.8	356324	356566	-	243	27	43	31	36
YBR059C	NC_001134.8	356861	360187	-	3327	207	200	166	250
YBR060C	NC_001134.8	360652	362514	-	1863	25	27	27	54
YBR061C	NC_001134.8	364787	365719	-	933	19	19	27	45
YBR062C	NC_001134.8;NC_001134.8	365976;366585	366502;366600	-;-	543	49	51	27	41
YBR063C	NC_001134.8	366970	368184	-	1215	23	21	17	24
YBR065C	NC_001134.8	368584	369678	-	1095	18	6	12	26
YBR066C	NC_001134.8	370037	370699	-	663	25	31	22	37
YBR067C	NC_001134.8	372103	372735	-	633	144	133	70	93
YBR068C	NC_001134.8	373861	375690	-	1830	55	344	337	550
YBR069C	NC_001134.8	376574	378433	-	1860	0	0	0	0
YNCB0014W	NC_001134.8	376610	378633	+	2024	0	1	0	1
YBR070C	NC_001134.8	379221	379934	-	714	19	13	13	25
YBR071W	NC_001134.8	380411	381046	+	636	41	35	27	49
YBR072W	NC_001134.8	382030	382674	+	645	818	370	43	52
YBR072C-A	NC_001134.8	382860	383021	-	162	0	0	0	0
YBR073W	NC_001134.8	383112	385988	+	2877	107	99	84	127
YBR074W	NC_001134.8	386286	389216	+	2931	54	53	60	82
YBR076W	NC_001134.8	390227	391291	+	1065	4	7	3	10
YBR077C	NC_001134.8	391805	392293	-	489	44	32	25	45
YBR078W	NC_001134.8;NC_001134.8	393123;393511	393180;394742	+;+	1290	842	824	625	841
YBR079C	NC_001134.8	395383	398277	-	2895	135	200	348	550
YBR080C	NC_001134.8	398614	400890	-	2277	174	168	109	150
YBR081C	NC_001134.8	401253	405251	-	3999	69	77	74	103
YNCB0015W	NC_001134.8	405878	405949	+	72	0	0	0	0
YNCB0016W	NC_001134.8	405960	406031	+	72	0	0	0	0
YBR082C	NC_001134.8;NC_001134.8	406628;407123	407027;407169	-;-	447	301	337	202	276
YBR083W	NC_001134.8	409169	410629	+	1461	154	163	135	169
YBR084W	NC_001134.8	411054	413981	+	2928	90	153	276	395
YBR084C-A	NC_001134.8;NC_001134.8	414186;415260	414753;415261	-;-	570	355	732	1134	1729
YBR085W	NC_001134.8	415983	416906	+	924	2	1	1	4
YBR085C-A	NC_001134.8	418907	419164	-	258	188	173	114	138
YBR086C	NC_001134.8	420201	423041	-	2841	413	333	218	303
YBR087W	NC_001134.8	423765	424829	+	1065	46	42	40	56
YBR088C	NC_001134.8	424990	425766	-	777	35	39	43	51
YBR089C-A	NC_001134.8	426190	426489	-	300	69	56	21	29
YBR090C	NC_001134.8;NC_001134.8	426333;426874	426516;427058	-;-	369	0	0	0	1
YBR091C	NC_001134.8	427155	427484	-	330	11	8	13	15
YBR092C	NC_001134.8	427698	429101	-	1404	17	7	6	19
YBR093C	NC_001134.8	429548	430951	-	1404	7	2	3	5
YBR094W	NC_001134.8	432036	434297	+	2262	78	80	52	58
YBR095C	NC_001134.8	434406	435698	-	1293	41	35	30	47
YBR096W	NC_001134.8	436021	436713	+	693	52	77	50	63
YBR097W	NC_001134.8	436951	441315	+	4365	54	40	36	49
YBR098W	NC_001134.8	441515	443590	+	2076	47	15	20	36
YBR101C	NC_001134.8	443821	444693	-	873	239	197	138	276
YBR102C	NC_001134.8	445062	447323	-	2262	90	74	63	93
YBR103W	NC_001134.8	447709	449316	+	1608	73	40	39	60
YBR104W	NC_001134.8	449667	450656	+	990	13	17	16	28
YBR105C	NC_001134.8	450881	451969	-	1089	96	108	102	142
YBR106W	NC_001134.8	452658	453224	+	567	131	217	183	247
YBR107C	NC_001134.8	453793	454530	-	738	26	10	15	23
YBR108W	NC_001134.8	454822	457665	+	2844	112	111	77	92
YBR109C	NC_001134.8	457919	458362	-	444	163	158	140	178
YBR110W	NC_001134.8	458872	460221	+	1350	63	62	46	77
YBR111C	NC_001134.8	461178	461873	-	696	143	218	103	133
YBR111W-A	NC_001134.8;NC_001134.8;NC_001134.8	462139;462290;462500	462209;462429;462579	+;+;+	291	14	20	17	14
YBR112C	NC_001134.8	462870	465770	-	2901	190	172	192	215
YBR114W	NC_001134.8	467248	469620	+	2373	68	63	50	82
YBR115C	NC_001134.8	469748	473926	-	4179	325	557	101	171
YBR117C	NC_001134.8	474392	476437	-	2046	78	23	16	15
YBR118W	NC_001134.8	477671	479047	+	1377	5009	8799	9201	13608
YBR119W	NC_001134.8;NC_001134.8	479338;479435	479345;480323	+;+	897	45	32	41	57
YBR120C	NC_001134.8	480435	480923	-	489	37	33	24	13
YBR121C	NC_001134.8	481364	483367	-	2004	246	470	405	586
YBR122C	NC_001134.8	483970	484503	-	534	68	59	35	37
YBR123C	NC_001134.8	484742	486691	-	1950	59	43	44	50
YBR125C	NC_001134.8	487199	488380	-	1182	38	53	26	44
YBR126C	NC_001134.8	488905	490392	-	1488	2192	1800	1059	1356
YBR126W-A	NC_001134.8	490850	491056	+	207	90	105	73	90
YBR127C	NC_001134.8	491269	492822	-	1554	514	564	448	546
YBR128C	NC_001134.8	493081	494115	-	1035	9	8	6	14
YBR129C	NC_001134.8	494353	495339	-	987	26	18	18	24
YBR130C	NC_001134.8	495592	496869	-	1278	50	60	71	73
YBR131W	NC_001134.8	497163	499277	+	2115	17	16	15	17
YBR132C	NC_001134.8	499652	501442	-	1791	107	162	75	81
YBR133C	NC_001134.8	501804	504287	-	2484	105	82	54	92
YBR135W	NC_001134.8	504854	505306	+	453	12	17	27	34
YBR136W	NC_001134.8	505668	512774	+	7107	69	49	36	53
YBR137W	NC_001134.8	513044	513583	+	540	76	47	26	41
YBR138C	NC_001134.8	513762	515336	-	1575	39	27	13	24
YBR139W	NC_001134.8	515664	517190	+	1527	399	294	133	173
YBR140C	NC_001134.8	517350	526628	-	9279	151	118	103	114
YBR141C	NC_001134.8	527025	528038	-	1014	11	7	9	20
YBR142W	NC_001134.8	528317	530638	+	2322	30	48	88	140
YBR143C	NC_001134.8	530869	532182	-	1314	118	163	186	274
YBR144C	NC_001134.8	533235	533549	-	315	0	0	0	1
YBR145W	NC_001134.8	533762	534817	+	1056	30	391	19	28
YBR146W	NC_001134.8	535260	536096	+	837	101	83	60	72
YBR147W	NC_001134.8	536575	537465	+	891	52	53	9	15
YBR148W	NC_001134.8	537876	539705	+	1830	7	7	4	9
YBR149W	NC_001134.8	539987	541021	+	1035	599	402	228	256
YBR150C	NC_001134.8	541209	544493	-	3285	65	63	43	60
YBR151W	NC_001134.8	545028	545978	+	951	184	161	130	162
YBR152W	NC_001134.8	546376	547251	+	876	6	9	6	11
YBR153W	NC_001134.8	547460	548194	+	735	14	19	15	23
YBR154C	NC_001134.8	548362	549009	-	648	34	41	68	106
YBR155W	NC_001134.8	549771	550928	+	1158	14	20	19	23
YBR156C	NC_001134.8	551104	553200	-	2097	36	20	31	33
YBR157C	NC_001134.8	553543	554310	-	768	15	13	23	23
YBR158W	NC_001134.8	556549	558198	+	1650	84	111	109	169
YBR159W	NC_001134.8	558685	559728	+	1044	111	120	133	167
YBR160W	NC_001134.8	560078	560974	+	897	67	63	54	54
YBR161W	NC_001134.8	561634	562764	+	1131	23	24	33	41
YBR162C	NC_001134.8	563203	564570	-	1368	471	478	365	480
YBR162W-A	NC_001134.8	565231	565428	+	198	31	45	40	46
YBR163W	NC_001134.8	565723	567480	+	1758	34	16	15	32
YBR164C	NC_001134.8	567875	568426	-	552	55	65	43	71
YBR165W	NC_001134.8	568852	569685	+	834	29	18	26	25
YBR166C	NC_001134.8	569842	571200	-	1359	43	44	49	62
YBR167C	NC_001134.8	571468	571890	-	423	27	18	23	16
YBR168W	NC_001134.8	572371	573612	+	1242	33	23	23	32
YBR169C	NC_001134.8	573915	575996	-	2082	566	428	158	235
